1;1438;9.900000;1470;small
2;852;9.900000;269;small
3;1341;9.900000;64;small
4;3968;9.900000;365;small
5;2348;9.900000;2046;small
6;3485;9.900000;1148;small
7;1402;9.900000;1191;small
8;1240;9.900000;1116;small
9;3430;9.900000;2813;small
10;688;9.900000;682;small
11;2920;9.900000;1354;small
12;3207;9.900000;1285;small
13;3021;9.900000;2288;small
14;1526;9.900000;1984;small
15;3299;9.900000;1476;small
16;1449;9.900000;1535;small
17;1914;9.900000;1807;small
18;2495;9.900000;2132;small
19;3194;9.900000;2227;small
20;1934;9.900000;2265;small
21;1597;9.900000;2201;small
22;1609;9.900000;2455;small
23;1933;9.900000;2422;small
24;2;9.900000;2362;small
25;4290;9.900000;737;small
26;2600;9.900000;1882;small
27;293;9.900000;980;small
28;1187;9.900000;27;small
29;1323;9.900000;946;small
30;1341;9.900000;2;small
31;2055;9.900000;2150;small
32;4272;9.900000;76;small
33;571;9.900000;947;small
34;2821;9.900000;2038;small
35;1683;9.900000;2130;small
36;4332;9.900000;729;small
37;4594;9.900000;2695;small
38;422;9.900000;1616;small
39;3555;9.900000;847;small
40;16;9.900000;1064;small
41;3114;9.900000;1339;small
42;1315;9.900000;883;small
43;1091;9.900000;1492;small
44;769;9.900000;895;small
45;735;9.900000;1149;small
46;1341;9.900000;995;small
47;64;9.900000;1279;small
48;3634;9.900000;1306;small
49;2411;9.900000;1830;small
50;3090;9.900000;1455;small
51;3011;9.900000;1679;small
52;3439;9.900000;1669;small
53;29;9.900000;1876;small
54;1113;9.900000;2151;small
55;2796;9.900000;2023;small
56;2741;9.900000;2062;small
57;1998;9.900000;2147;small
58;1788;9.900000;2194;small
59;2926;9.900000;2374;small
60;4412;9.900000;2601;small
61;4488;9.900000;2767;small
